element,Flag action
"<(0040,08d8)>",retired
"<(0040,08da)>",retired
"<(0040,09f8)>",retired
"<(0040,1006)>",retired
"<(0040,1007)>",retired
"<(0040,1060)>",retired
"<(0040,2001)>",retired
"<(0040,2006)>",retired
"<(0040,2007)>",retired
"<(0040,4001)>",retired
"<(0040,4002)>",retired
"<(0040,4003)>",retired
"<(0040,4004)>",retired
"<(0040,4006)>",retired
"<(0040,4007)>",retired
"<(0040,4015)>",retired
"<(0040,4016)>",retired
"<(0040,4020)>",retired
"<(0040,4022)>",retired
"<(0040,4023)>",retired
"<(0040,4031)>",retired
"<(0040,4032)>",retired
"<(0040,a007)>",retired
"<(0040,a020)>",retired
"<(0040,a021)>",retired
"<(0040,a022)>",retired
"<(0040,a023)>",retired
"<(0040,a024)>",retired
"<(0040,a026)>",retired
"<(0040,a028)>",retired
"<(0040,a047)>",retired
"<(0040,a057)>",retired
"<(0040,a060)>",retired
"<(0040,a066)>",retired
"<(0040,a067)>",retired
"<(0040,a068)>",retired
"<(0040,a070)>",retired
"<(0040,a074)>",retired
"<(0040,a076)>",retired
"<(0040,a085)>",retired
"<(0040,a089)>",retired
"<(0040,a090)>",retired
"<(0040,a110)>",retired
"<(0040,a112)>",retired
"<(0040,a125)>",retired
"<(0040,a136)>",retired
"<(0040,a167)>",retired
"<(0040,a16a)>",retired
"<(0040,a172)>",retired
"<(0040,a173)>",retired
"<(0040,a174)>",retired
"<(0040,a192)>",retired
"<(0040,a193)>",retired
"<(0040,a194)>",retired
"<(0040,a224)>",retired
"<(0040,a290)>",retired
"<(0040,a296)>",retired
"<(0040,a297)>",retired
"<(0040,a29a)>",retired
"<(0040,a307)>",retired
"<(0040,a313)>",retired
"<(0040,a33a)>",retired
"<(0040,a340)>",retired
"<(0040,a352)>",retired
"<(0040,a353)>",retired
"<(0040,a354)>",retired
"<(0040,a358)>",retired
"<(0040,a380)>",retired
"<(0040,a402)>",retired
"<(0040,a403)>",retired
"<(0040,a404)>",retired
"<(0040,a600)>",retired
"<(0040,a601)>",retired
"<(0040,a603)>",retired
"<(0040,a731)>",retired
"<(0040,a732)>",retired
"<(0040,a744)>",retired
"<(0040,a992)>",retired
"<(0040,db06)>",retired
"<(0040,db07)>",retired
"<(0040,db0b)>",retired
"<(0040,db0c)>",retired
"<(0040,db0d)>",retired
"<(0048,0200)>",retired
"<(0048,0201)>",retired
"<(0048,0202)>",retired
"<(0054,1400)>",retired
"<(0054,1401)>",retired
"<(0066,0023)>",retired
"<(0066,0024)>",retired
"<(0066,0025)>",retired
"<(0066,0029)>",retired
"<(0070,0040)>",retired
"<(0070,0050)>",retired
"<(0070,0051)>",retired
"<(0070,0067)>",retired
"<(0070,1206)>",retired
"<(0070,1807)>",retired
"<(0070,1808)>",retired
"<(0074,1024)>",retired
"<(0074,1038)>",retired
"<(0074,103a)>",retired
"<(0074,1220)>",retired
"<(0074,1222)>",retired
"<(0088,0904)>",retired
"<(0088,0906)>",retired
"<(0088,0910)>",retired
"<(0088,0912)>",retired
"<(0400,0315)>",retired
"<(1000,xxx0)>",retired
"<(1000,xxx1)>",retired
"<(1000,xxx2)>",retired
"<(1000,xxx3)>",retired
"<(1000,xxx4)>",retired
"<(1000,xxx5)>",retired
"<(1010,xxxx)>",retired
"<(2000,0062)>",retired
"<(2000,0063)>",retired
"<(2000,0065)>",retired
"<(2000,0067)>",retired
"<(2000,0069)>",retired
"<(2000,006a)>",retired
"<(2000,0510)>",retired
"<(2020,0130)>",retired
"<(2020,0140)>",retired
"<(2040,0010)>",retired
"<(2040,0011)>",retired
"<(2040,0020)>",retired
"<(2040,0060)>",retired
"<(2040,0070)>",retired
"<(2040,0072)>",retired
"<(2040,0074)>",retired
"<(2040,0080)>",retired
"<(2040,0082)>",retired
"<(2040,0090)>",retired
"<(2040,0100)>",retired
"<(2040,0500)>",retired
"<(2100,0010)>",retired
"<(2100,0040)>",delete
"<(2100,0140)>",delete
"<(2100,0500)>",retired
"<(2110,0099)>",retired
"<(2120,0010)>",retired
"<(2120,0050)>",retired
"<(2120,0070)>",retired
"<(2130,0010)>",retired
"<(2130,0015)>",retired
"<(2130,0030)>",retired
"<(2130,0040)>",retired
"<(2130,0050)>",retired
"<(2130,0060)>",retired
"<(2130,0080)>",retired
"<(2130,00a0)>",retired
"<(2130,00c0)>",retired
"<(3004,0010)>",retired
"<(3006,0044)>",retired
"<(3006,0045)>",retired
"<(3006,0049)>",retired
